127.0.0.1 - - [28/Jan/2022:10:55:13 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:55:14 +0900] "GET /02_html/01_html/test24_pre_list_xmp.html HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:55:14 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:56:32 +0900] "GET /02_html/01_html/test24_pre_list_xmp.html HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:18 +0900] "GET /02_html/01_html/test24_pre_list_xmp.html HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [28/Jan/2022:10:59:45 +0900] "GET /02_html/01_html/test24_pre_list_xmp.html HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [28/Jan/2022:11:06:17 +0900] "GET /02_html/01_html/test25_span_div.html HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [28/Jan/2022:11:08:59 +0900] "GET /02_html/01_html/test25_span_div.html HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [28/Jan/2022:11:49:01 +0900] "GET /02_html/02_css/test02.html HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [28/Jan/2022:11:49:34 +0900] "GET /02_html/02_css/test02.html HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [28/Jan/2022:11:49:35 +0900] "GET /02_html/02_css/test02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2022:11:49:35 +0900] "GET /02_html/02_css/test02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2022:11:49:35 +0900] "GET /02_html/02_css/test02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2022:11:49:35 +0900] "GET /02_html/02_css/test02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2022:11:50:03 +0900] "GET /02_html/02_css/test02.html HTTP/1.1" 200 304
