127.0.0.1 - - [08/Mar/2022:09:46:43 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:46:44 +0900] "GET /05_shop/admin/productList.jsp HTTP/1.1" 200 4531
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:46:44 +0900] "GET /05_shop/admin/script.js HTTP/1.1" 200 5173
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:46:44 +0900] "GET /05_shop/admin/style.css HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:46:44 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:46:48 +0900] "POST /05_shop/admin/productDetail.jsp HTTP/1.1" 200 3207
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:46:48 +0900] "GET /05_shop/imgs/1011804_560x560.jpg HTTP/1.1" 200 139383
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:46:51 +0900] "POST /05_shop/admin/updateForm.jsp HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:54:15 +0900] "POST /05_shop/admin/productDetail.jsp HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:54:15 +0900] "GET /05_shop/imgs/null HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:54:15 +0900] "GET /05_shop/admin/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:54:16 +0900] "POST /05_shop/admin/updateForm.jsp HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:08:19 +0900] "GET /05_shop/admin/productList.jsp HTTP/1.1" 200 4531
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:08:19 +0900] "GET /05_shop/admin/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:08:21 +0900] "POST /05_shop/admin/productDetail.jsp HTTP/1.1" 200 3207
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:08:23 +0900] "POST /05_shop/admin/updateForm.jsp HTTP/1.1" 200 3394
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:08:37 +0900] "POST /05_shop/admin/productDetail.jsp HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:08:37 +0900] "GET /05_shop/imgs/null HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:08:39 +0900] "POST /05_shop/admin/updateForm.jsp HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:09:02 +0900] "POST /05_shop/admin/productInsertPro.jsp?flag=update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:09:02 +0900] "GET /05_shop/admin/productList.jsp HTTP/1.1" 200 4531
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:09:04 +0900] "POST /05_shop/admin/productDetail.jsp HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:09:04 +0900] "GET /05_shop/imgs/null HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:11:27 +0900] "GET /05_shop/admin/productList.jsp HTTP/1.1" 200 4531
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:11:27 +0900] "GET /05_shop/admin/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:11:36 +0900] "GET /05_shop/admin/productList.jsp HTTP/1.1" 200 4531
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:11:38 +0900] "POST /05_shop/admin/productDetail.jsp HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:11:38 +0900] "GET /05_shop/imgs/null HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:11:39 +0900] "POST /05_shop/admin/updateForm.jsp HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:11:47 +0900] "POST /05_shop/admin/productInsertPro.jsp?flag=update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:11:47 +0900] "GET /05_shop/admin/productList.jsp HTTP/1.1" 200 4531
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:11:48 +0900] "POST /05_shop/admin/productDetail.jsp HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:11:48 +0900] "GET /05_shop/imgs/%EA%B1%98%EC%97%AD%EC%8B%9C3.png HTTP/1.1" 200 2901
