127.0.0.1 - - [03/Mar/2022:09:29:12 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:29:13 +0900] "GET /mvcpro/template/template.jsp HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:29:13 +0900] "GET /mvcpro/template/aa.css HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:29:13 +0900] "GET /mvcpro/imgs/javalogo.png HTTP/1.1" 200 8572
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:29:13 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:30:24 +0900] "GET /mvcpro/member/main.do HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:30:24 +0900] "GET /mvcpro/imgs/javajava.png HTTP/1.1" 200 447788
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:30:24 +0900] "GET /mvcpro/member/aa.css HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:31:10 +0900] "GET /mvcpro/notice_board/list.do HTTP/1.1" 200 4684
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:31:10 +0900] "GET /mvcpro/notice_board/aa.css HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:31:10 +0900] "GET /mvcpro/imgs/re.gif HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:31:10 +0900] "GET /mvcpro/imgs/level.gif HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:37:11 +0900] "GET /mvcpro/notice_board/writeForm.do HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:37:11 +0900] "GET /mvcpro/notice_board/aa.js HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:38:34 +0900] "GET /mvcpro/notice_board/list.do HTTP/1.1" 200 4684
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:40:03 +0900] "GET /mvcpro/lecture/lectureList.do HTTP/1.1" 200 3221
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:40:03 +0900] "GET /mvcpro/lecture/aa.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:40:03 +0900] "GET /mvcpro/lecture/aa.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:40:03 +0900] "GET /mvcpro/imgs/munjajava.JPG HTTP/1.1" 200 12820
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:40:03 +0900] "GET /mvcpro/imgs/mundb.JPG HTTP/1.1" 200 12842
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:40:03 +0900] "GET /mvcpro/imgs/munjapython.JPG HTTP/1.1" 200 13217
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:40:03 +0900] "GET /mvcpro/imgs/munjabigdata.JPG HTTP/1.1" 200 12797
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:40:28 +0900] "GET /mvcpro/notice_board/list.do HTTP/1.1" 200 4684
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:40:30 +0900] "GET /mvcpro/notice_board/content.do?num=1&pageNum=1 HTTP/1.1" 200 3420
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:40:51 +0900] "GET /mvcpro/lecture/lectureList.do HTTP/1.1" 200 3221
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:40:51 +0900] "GET /mvcpro/lecture/aa.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:40:51 +0900] "GET /mvcpro/lecture/aa.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:41:54 +0900] "GET /mvcpro/lecture/lectureJava.do HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:41:54 +0900] "GET /mvcpro/lecture/aa.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:41:54 +0900] "GET /mvcpro/lecture/aa.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:04:09 +0900] "GET /mvcpro/lecture/lectureJava.do HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:04:09 +0900] "GET /mvcpro/lecture/aa.css HTTP/1.1" 404 1034
