순위,카테고리,채널,구독자,조회수,비디오 개수
1,[음악/댄스/가수],BLACKPINK,"73,900,000","23,501,260,000",394
2,[음악/댄스/가수],BANGTANTV,"65,900,000","15,974,090,000","1,689"
3,[음악/댄스/가수],HYBE LABELS,"65,200,000","22,381,940,000",853
4,[음악/댄스/가수],SMTOWN,"30,300,000","24,408,450,000","3,901"
5,[키즈/어린이],Boram Tube Vlog [보람튜브 브이로그],"26,500,000","11,052,880,000",223
6,[음악/댄스/가수],1MILLION Dance Studio,"25,200,000","7,237,400,000","3,872"
7,[음악/댄스/가수],JYP Entertainment,"24,400,000","16,314,610,000","1,471"
8,[음악/댄스/가수],1theK (원더케이),"24,000,000","22,138,270,000","16,381"
9,[음악/댄스/가수],Mnet K-POP,"19,500,000","14,887,300,000","28,008"
10,[TV/방송],KBS WORLD TV,"17,800,000","13,512,560,000","56,686"
11,[음악/댄스/가수],JFlaMusic,"17,500,000","3,602,860,000",282
12,[음식/요리/레시피],Jane ASMR 제인,"16,400,000","6,167,120,000","1,447"
13,[음악/댄스/가수],officialpsy,"16,300,000","9,179,210,000",101
14,[음악/댄스/가수],BIGBANG,"14,700,000","7,173,850,000",776
15,[음악/댄스/가수],TWICE,"13,600,000","3,303,460,000",782
16,[음식/요리/레시피],Hongyu ASMR 홍유,"12,500,000","3,783,320,000",473
18,[미분류],TheWeekndVEVO,"10,600,000","14,474,720,000",132
17,[키즈/어린이],Nao FunFun,"10,600,000","4,480,000",52
19,[키즈/어린이],핑크퐁 (인기 동요・동화),"10,500,000","6,446,420,000","2,579"
20,[음악/댄스/가수],Stone Music Entertainment,"10,400,000","8,712,310,000","8,740"
21,[키즈/어린이],DuDuPopTOY,"10,300,000","4,719,200,000","2,092"
22,[키즈/어린이],Toymong tv 토이몽TV,"10,000,000","4,142,860,000","2,031"
23,[TV/방송],MBCkpop,"9,840,000","8,017,100,000","42,789"
24,[키즈/어린이],Larva TUBA,"9,660,000","4,252,630,000","2,833"
25,[음식/요리/레시피],[햄지]Hamzy,"9,460,000","2,940,590,000",417
26,[키즈/어린이],서은이야기[SeoeunStory],"9,420,000","3,244,940,000","1,071"
27,[음악/댄스/가수],Stray Kids,"9,350,000","1,731,200,000",586
28,[음악/댄스/가수],TOMORROW X TOGETHER OFFICIAL,"9,010,000","744,150,000","1,054"
29,[음악/댄스/가수],Mnet TV,"8,860,000","10,704,630,000","20,168"
30,[음악/댄스/가수],EXO,"8,790,000","615,340,000",269
31,[뉴스/정치/사회],MBCentertainment,"8,700,000","15,647,390,000","90,787"
32,[음악/댄스/가수],iKON,"8,610,000","2,264,650,000",520
33,[TV/방송],M2,"8,180,000","6,524,660,000","15,965"
34,[해외],Serie A,"8,170,000","2,888,130,000","22,714"
35,[음식/요리/레시피],쏘영 Ssoyoung,"7,990,000","912,700,000",585
36,[음식/요리/레시피],문복희 Eat with Boki,"7,720,000","1,915,110,000",560
37,[음악/댄스/가수],SEVENTEEN,"7,670,000","2,728,780,000","1,083"
38,[키즈/어린이],MariAndKids,"7,620,000","2,347,730,000",810
39,[음악/댄스/가수],이지금 [IU Official],"7,530,000","1,454,260,000",141
40,[뉴스/정치/사회],JTBC Entertainment,"7,310,000","10,746,830,000","69,944"
41,[키즈/어린이],SonicToy소닉토이,"7,290,000","3,065,180,000",166
42,[음악/댄스/가수],ITZY,"7,140,000","1,460,290,000",581
43,[음악/댄스/가수],Sungha Jung,"6,910,000","1,924,360,000","1,322"
44,[TV/방송],KBS Kpop,"6,870,000","5,566,400,000","32,802"
45,[미분류],Pixar,"6,770,000","3,439,390,000",724
