제목,저자,번역,출시일,쪽수,가격
5년 후 나에게 Q&A a Day(2022 메리골드 Edition) [양장],포터 스타일,정지현, 2021년 11월 29일, 368,"15,120"
나를 살리는 논어 한마디 : 거친 물결에 흔들리는 삶을 잡아줄 공자의 명쾌한 해답,판덩,이서연, 2022년 05월 30일, 320,"16,020"
흔한남매 10,흔한남매,-, 2022년 04월 28일, 192,"12,150"
SQL 자격검정 실전문제 : 국가공인 SQL전문가 국가공인 SQL개발자,한국데이터진흥원,-, 2021년 10월 15일, 279,"17,280"
작별인사 : 김영하 장편소설,김영하,-, 2022년 05월 02일, 308,"12,600"
"운명을 바꾸는 부동산 투자 수업: 실전편 : 내 집 마련부터 실전 아파트 투자까지, 결국 돈 버는 부동산 투자 트레이닝",정태익,-, 2022년 03월 22일, 300,"15,120"
불편한 편의점(40만부 기념 벚꽃 에디션) : 김호연 장편소설,김호연,-, 2021년 04월 20일, 268,"12,600"
쥬비스 미라클 : 쥬비스 다이어트는 어떻게 신화가 되었나?,조성경,-, 2022년 03월 28일, 284,"14,400"
"운명을 바꾸는 부동산 투자 수업: 기초편 : 내 집 마련부터 실전 아파트 투자까지, 결국 돈 버는 부동산 투자 트레이닝",정태익,-, 2022년 03월 22일, 300,"15,120"
나에게 고맙다(30만 부 기념 전면 개정판) : 전승환 에세이,전승환,-, 2022년 02월 18일, 288,"14,400"
"어서 오세요, 휴남동 서점입니다",황보름,-, 2022년 01월 17일, 364,"13,500"
"아, 육아란 원래 이런 거구나! : 자율적인 아이와 단단한 부모를 위한 천년의 육아법",마이클렌 다우클레프,이정민, 2022년 04월 25일, 384,"17,820"
나는 대출 없이 0원으로 소형 아파트를 산다 : 300만 원으로 100억 자산을 이룬 부동산 소액투자의 기술,잭파시(최경천),-, 2022년 04월 19일, 412,"18,000"
나의 투자는 새벽 4시에 시작된다 : 3년만에 300억으로 돌아온 유목민의 투자 인사이트,유목민,-, 2022년 04월 15일, 386,"17,820"
기분을 관리하면 인생이 관리된다 : 김다슬 에세이,김다슬,-, 2022년 04월 12일, 280,"15,840"
