순위,제목,아티스트,앨범
1,That That (Prod. & Feat. SUGA of BTS),싸이 (Psy),싸다9
2,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
3,LOVE DIVE,IVE (아이브),LOVE DIVE
4,TOMBOY,(여자)아이들,I NEVER DIE
5,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
6,Feel My Rhythm,Red Velvet (레드벨벳),'The ReVe Festival 2022 - Feel My Rhythm'
7,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
8,GANADARA (Feat. 아이유),박재범,GANADARA
9,LOVE me,BE'O (비오),LOVE me
10,취중고백,김민석 (멜로망스),취중고백
11,우리들의 블루스,임영웅,IM HERO
12,듣고 싶을까,MSG워너비 (M.O.M),듣고 싶을까
13,INVU,태연 (TAEYEON),INVU - The 3rd Album
14,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
15,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
16,ZOOM,제시,ZOOM
17,신호등,이무진,신호등
18,나의 X에게,경서,나의 X에게
19,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
20,Stay,The Kid LAROI & Justin Bieber,Stay
21,strawberry moon,아이유 (IU),strawberry moon
22,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
23,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
24,ELEVEN,IVE (아이브),ELEVEN
25,Celeb,싸이 (Psy),싸다9
26,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
27,HERO,임영웅,HERO
28,MY BAG,(여자)아이들,I NEVER DIE
29,abcdefu,GAYLE,abcdefu
30,그대라는 사치,임영웅,사랑의 콜센타 PART62
31,라일락,아이유 (IU),IU 5th Album 'LILAC'
32,끝사랑,임영웅,사랑의 콜센타 PART61
33,Bk Love,임영웅,뽕숭아학당 PART23
34,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Episode 3
35,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
36,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You) (Digital Audio Bundle)
37,감동이야 (Feat. 성시경),싸이 (Psy),싸다9
38,Seoul,볼빨간사춘기,Seoul
39,"스물다섯, 스물하나",자우림,"Goodbye, grief."
40,Next Level,aespa,Next Level
41,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
42,어제처럼,폴킴,어제처럼
43,너를 생각해,주시크 (Joosiq),너를 생각해
44,Blueming,아이유 (IU),Love poem
45,걷고 싶다,임영웅,사랑의 콜센타 PART39
46,Bad Habits,Ed Sheeran,=
47,Weekend,태연 (TAEYEON),Weekend
48,Butter,방탄소년단,Butter
49,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
50,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
51,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
52,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars
53,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
54,호랑수월가,탑현,호랑수월가
55,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
56,SMILEY (Feat. BIBI),YENA (최예나),SMiLEY
57,Savage,aespa,Savage - The 1st Mini Album
58,2002,Anne-Marie,Speak Your Mind (Deluxe)
59,문득,BE'O (비오),Bipolar
60,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
61,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
62,고백,멜로망스 (MeloMance),세 번째 '고백'
63,Tiny Riot,Sam Ryder,The Sun's Gonna Rise
64,My Universe,Coldplay & 방탄소년단,My Universe
65,드라마,아이유 (IU),조각집
66,RUN2U,STAYC (스테이씨),YOUNG-LUV.COM
67,헤픈 우연,헤이즈 (Heize),HAPPEN
68,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub),Red Moon : Beyond The Light
69,Permission to Dance,방탄소년단,Butter / Permission to Dance
70,At My Worst,Pink Sweat$,The Prelude
71,서랍,10CM,그 해 우리는 OST Part.1
72,낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE
73,눈이 오잖아 (Feat. 헤이즈),이무진,눈이 오잖아
74,Step Back,GOT the beat,Step Back
75,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
76,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. by TOIL),베이식 (Basick),쇼미더머니 10 Episode 3
77,나는 트로트가 싫어요,임창정,별거 없던 그 하루로
78,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
79,Off My Face,Justin Bieber,Justice
80,밤이 깊었네 (Feat. 헤이즈),싸이 (Psy),싸다9
81,내가 아니라도,주호,내가 아니라도
82,Loving You Girl (Feat. Hkeem),Peder Elias,Love & Loneliness
83,Because Of You,Ne-Yo,Because Of You
84,롤린 (Rollin'),브레이브걸스 (Brave girls),Rollin'
85,That's Hilarious,Charlie Puth,That's Hilarious
86,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4
87,LOVE,몬스타엑스,SHAPE of LOVE
88,Real Love,오마이걸 (OH MY GIRL),Real Love
89,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들,사이렌 Remix
90,With you,지민 & 하성운,우리들의 블루스 OST Part 4
91,아무래도 난,주시크 (Joosiq),아무래도 난
92,선물,멜로망스 (MeloMance),Moonlight
93,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice
94,Starlight,태일 (TAEIL),스물다섯 스물하나 OST Part 1
95,겨울잠,아이유 (IU),조각집
96,우연히 봄,로꼬 & 유주 (YUJU),냄새를 보는 소녀 OST Part.2 (SBS 수목드라마)
97,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
98,오래된 노래,Standing Egg (스탠딩 에그),오래된 노래
99,너의 번호를 누르고,김나영,너의 번호를 누르고
100,이제는 (Feat. 화사),싸이 (Psy),싸다9
101,에잇 (Prod. & Feat. SUGA of BTS),아이유 (IU),에잇
102,Hey Mama (Feat. Nicki Minaj & Bebe Rexha & Afrojack),David Guetta,Listen (Deluxe)
103,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
104,12 : 45 (Stripped),etham,12 : 45 (Stripped)
105,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
106,GANJI (Feat. Jessi),싸이 (Psy),싸다9
107,봄 to 러브,10CM,우리들의 블루스 OST Part 3
108,아로하,조정석,슬기로운 의사생활 OST Part 3 (tvN 목요드라마)
109,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
110,Dreams Come True,aespa,Dreams Come True - SM STATION
111,너의 번호를 누르고 (Prod. by 영화처럼),#안녕,너의 번호를 누르고
112,Every Second,Mina Okabe,Every Second
113,여행,볼빨간사춘기,Red Diary Page.2
114,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마)
115,어푸 (Ah puh),아이유 (IU),IU 5th Album 'LILAC'
116,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,Savage Love (Laxed - Siren Beat) (BTS Remix)
117,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
118,봄날,방탄소년단,YOU NEVER WALK ALONE
119,그래서 그래 (Feat. 윤하),에픽하이 (EPIK HIGH),Epik High Is Here 下
120,Bad,Christopher,Under the Surface
121,잊을 수 있을까,노을,이별을 말하는
122,나보다 더 사랑해요,김호중,나보다 더 사랑해요
123,"나만, 봄",볼빨간사춘기,사춘기집 I 꽃기운
124,METEOR,창모 (CHANGMO),Boyhood
125,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아
126,만개 (Prod. 신지후),김호중,우리家
127,Memories,Maroon 5,Memories
128,우리가 헤어져야 했던 이유,비비 (BIBI),그 해 우리는 OST Part.2
129,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In))"
130,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스 (MeloMance),그게 더 편할 것 같아 (N번째 연애 X 멜로망스)
131,처음부터 너와 나,볼빨간사춘기,군주 - 가면의 주인 OST Part.2 (MBC 수목드라마)
132,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021)
133,흰눈,먼데이 키즈 (Monday Kiz),흰눈
134,마지막 너의 인사,헤이즈 (Heize),우리들의 블루스 OST Part 2
135,Happier (Feat. Crush),싸이 (Psy),싸다9
136,쉬어 (Feat. MINO) (Prod. by GRAY),아넌딜라이트 (Anandelight) & Unofficialboyy & BE'O (비오) & 지구인 & Mudd The Student,쇼미더머니 10 Episode 1
137,parachute,John K,love ＋ everything else
138,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
139,벚꽃이 피면 우리 그만 헤어져,벤,벚꽃이 피면 우리 그만 헤어져
140,Timeless,SG워너비,Wanna Be＋
141,Burning Up (Feat. R3HAB),몬스타엑스,SHAPE of LOVE
142,9INTRO,싸이 (Psy),싸다9
